name,uen,address,tel,fax,contractor_type,trade_type,workhead,workhead_title,grade,detail_url
FAB CARE ENGINEERING PTE. LTD.,202126357K,78 GEYLANG BAHRU #01-2906 GEYLANG BAHRU INDUSTRIAL ESTATE SINGAPORE 339686,67029709,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202126357K
FELICITY ENGINEERING PTE LTD,199701363W,15 CHANGI NORTH STREET 1 #01-33 I-LOFTS @ CHANGI SINGAPORE 498765,65430281,65430520,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199701363W
FIRST ASIACLEAN PTE LTD,200401579H,135 JOO SENG ROAD #07-03 SINGAPORE 368363,68460498,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200401579H
FIRST RAY CONSTRUCTION & DEVELOPMENT PTE. LTD.,202345636E,2 VENTURE DRIVE #14-22 VISION EXCHANGE SINGAPORE 608526,66940476,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202345636E
FIXINGURU PTE LTD,202004116G,18 BOON LAY WAY #06-102 TRADEHUB 21 SINGAPORE 609966,87979745,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202004116G
FONDA GLOBAL ENGINEERING PTE. LTD.,199403805W,2 TUAS VIEW SQUARE SINGAPORE 637576,66610680,65853178,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199403805W
FOURWAYS PTE. LTD.,198800504D,80 GENTING LANE #03-05 RUBY INDUSTRIAL COMPLEX SINGAPORE 349565,67462833,67467388,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=198800504D
FRESH CLEAN SERVICES PTE. LTD.,202452228H,101 KITCHENER ROAD #02-09 JALAN BESAR PLAZA SINGAPORE 208511,84118233,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202452228H
FRESH CLEANING FACILITIES MANAGEMENT PTE LTD,201633169W,18 SIN MING LANE #06-27 MIDVIEW CITY SINGAPORE 573960,83332999,88382999,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201633169W
FRISCO TECHNOLOGY & SERVICES PTE LTD,198903171N,3 JALAN WAKAFF #01-01 FENARA COURT SINGAPORE 428233,67431919,67425650,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=198903171N
FULL HOUSE BUILDING CONSTRUCTION PTE LTD,199404640C,5040 ANG MO KIO INDUSTRIAL PARK 2 #01-447 SINGAPORE 569543,64834440,64833440,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199404640C
GALLOP STABLE (S) PTE LTD,200503644G,6 TAGORE DRIVE #01-05 TAGORE BUILDING SINGAPORE 787623,96774457,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200503644G
GARDEN WORKS PTE. LTD.,201000795N,212 HOUGANG STREET 21 #03-325 SINGAPORE 530212,68583006,63830049,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201000795N
GETZ CLEANZ PTE. LTD.,201708942D,10 UBI CRESCENT #05-31 UBI TECHPARK SINGAPORE 408564,88663030,69709566,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201708942D
GIM TIAN CIVIL ENGINEERING PTE LTD,198800866E,24 LOYANG CRESCENT LOYANG INDUSTRIAL ESTATE SINGAPORE 508987,62910909,62926737,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=198800866E
GIM TIAN LOGISTICS PTE. LTD.,199400038D,24 LOYANG CRESCENT LOYANG INDUSTRIAL ESTATE SINGAPORE 508987,62910909,62926737,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199400038D
